Date;Credit Volume Mortgage Loans (in mio CHF)
30.06.1985;179490.5423
31.07.1985;181120.6966
31.08.1985;183662.6497
30.09.1985;184905.9168
31.10.1985;186394.9095
30.11.1985;187934.093
31.12.1985;189326.8867
31.01.1986;190463.4984
28.02.1986;191797.7363
31.03.1986;193344.2392
30.04.1986;194906.4268
31.05.1986;196212.4324
30.06.1986;197896.9599
31.07.1986;199278.2516
31.08.1986;200955.4597
30.09.1986;202898.2606
31.10.1986;204595.3358
30.11.1986;206314.3696
31.12.1986;208549.9499
31.01.1987;209824.5862
28.02.1987;211412.9148
31.03.1987;213344.2136
30.04.1987;215088.3427
31.05.1987;216869.0693
30.06.1987;218946.7578
31.07.1987;220892.6956
31.08.1987;222797.8534
30.09.1987;225324.122
31.10.1987;227744.7808
30.11.1987;229910.3032
31.12.1987;233153.8814
31.01.1988;234694.1105
29.02.1988;236664.098
31.03.1988;239539.6106
30.04.1988;241281.6484
31.05.1988;243435.6688
30.06.1988;246224.3932
31.07.1988;248223.6587
31.08.1988;250835.6698
30.09.1988;253925.5388
31.10.1988;256261.5007
30.11.1988;259264.5814
31.12.1988;262877.2709
31.01.1989;265553.0661
28.02.1989;268406.6202
31.03.1989;272093.5502
30.04.1989;275087.2203
31.05.1989;279049.1538
30.06.1989;282910.7058
31.07.1989;285320.9082
31.08.1989;287574.2644
30.09.1989;290328.4827
31.10.1989;293046.1035
30.11.1989;296403.6566
31.12.1989;299294.8538
31.01.1990;301859.8111
28.02.1990;304641.216
31.03.1990;307186.306
30.04.1990;309469.9859
31.05.1990;311865.5493
30.06.1990;314073.943
31.07.1990;316348.212
31.08.1990;318610.979
30.09.1990;320504.6348
31.10.1990;322266.5398
30.11.1990;323750.3043
31.12.1990;325626.1841
31.01.1991;326266.1164
28.02.1991;327864.9014
31.03.1991;329024.5172
30.04.1991;331137.7576
31.05.1991;332588.0616
30.06.1991;333995.4943
31.07.1991;335355.8731
31.08.1991;337167.9689
30.09.1991;338777.2103
31.10.1991;340383.3148
30.11.1991;342075.1619
31.12.1991;343261.9643
31.01.1992;343626.893
29.02.1992;345116.9314
31.03.1992;346556.779
30.04.1992;347850.2368
31.05.1992;348478.667
30.06.1992;349838.0003
31.07.1992;350531.2602
31.08.1992;351860.2698
30.09.1992;355040.064
31.10.1992;355532.5608
30.11.1992;356204.908
31.12.1992;357030.9643
31.01.1993;357081.1551
28.02.1993;357372.8889
31.03.1993;358182.215
30.04.1993;360804.6825
31.05.1993;361614.0086
30.06.1993;362807.0849
31.07.1993;363480.4777
31.08.1993;364573.1725
30.09.1993;365550.8468
31.10.1993;366509.6995
30.11.1993;367893.0825
31.12.1993;366589.1682
31.01.1994;367350.3948
28.02.1994;368129.3973
31.03.1994;371414.8012
30.04.1994;372638.2011
31.05.1994;374123.0112
30.06.1994;376096.1357
31.07.1994;376987.0218
31.08.1994;378459.2842
30.09.1994;381644.3066
31.10.1994;382808.1049
30.11.1994;384277.2305
31.12.1994;385459.8504
31.01.1995;387164.2451
28.02.1995;388312.3589
31.03.1995;389955.0608
30.04.1995;390739.2915
31.05.1995;392274.2924
30.06.1995;391306.0289
31.07.1995;391676.1858
31.08.1995;392861.9426
30.09.1995;394652.0799
31.10.1995;396275.9603
30.11.1995;396921.1208
31.12.1995;399234.0786
31.01.1996;400182.4749
29.02.1996;402983.747
31.03.1996;404946.4151
30.04.1996;405965.915
31.05.1996;407627.4385
30.06.1996;410039.7321
31.07.1996;410060.6449
31.08.1996;411063.4146
30.09.1996;412068.2756
31.10.1996;411173.2069
30.11.1996;413057.4519
31.12.1996;414868.502
31.01.1997;418085.9392
28.02.1997;417851.7156
31.03.1997;418497.9217
30.04.1997;419274.833
31.05.1997;419903.2632
30.06.1997;419393
31.07.1997;421332
31.08.1997;421912
30.09.1997;424792
31.10.1997;425952
30.11.1997;425665
31.12.1997;427401
31.01.1998;427071
28.02.1998;427456
31.03.1998;428483
30.04.1998;429134
31.05.1998;429809
30.06.1998;431104
31.07.1998;431007
31.08.1998;431613
30.09.1998;432701
31.10.1998;443643
30.11.1998;441259
31.12.1998;442752
31.01.1999;442560
28.02.1999;443627
31.03.1999;445435
30.04.1999;448538
31.05.1999;450013
30.06.1999;448296
31.07.1999;448295
31.08.1999;449119
30.09.1999;451541
31.10.1999;450491
30.11.1999;451084
31.12.1999;451381
31.01.2000;448038
29.02.2000;449273
31.03.2000;451209
30.04.2000;452910
31.05.2000;452959
30.06.2000;453613
31.07.2000;449580
31.08.2000;449704
30.09.2000;452356
31.10.2000;452810
30.11.2000;454069
31.12.2000;446440
31.01.2001;446526
28.02.2001;446965
31.03.2001;448933
30.04.2001;449502
31.05.2001;450100
30.06.2001;451946
31.07.2001;452378
31.08.2001;453856
30.09.2001;455581
31.10.2001;456548
30.11.2001;463377
31.12.2001;463778
31.01.2002;464102
28.02.2002;465165
31.03.2002;466449
30.04.2002;467081
31.05.2002;468186
30.06.2002;469637
31.07.2002;470531
31.08.2002;471592
30.09.2002;473825
31.10.2002;475450
30.11.2002;476523
31.12.2002;477479
31.01.2003;478740
28.02.2003;480015
31.03.2003;481977
30.04.2003;483590
31.05.2003;485296
30.06.2003;487412
31.07.2003;488669
31.08.2003;490580
30.09.2003;493107
31.10.2003;494745
30.11.2003;495869
31.12.2003;496653
31.01.2004;498003
29.02.2004;499962
31.03.2004;501778
30.04.2004;503346
31.05.2004;504699
30.06.2004;507318
31.07.2004;508739
31.08.2004;510719
30.09.2004;512507
31.10.2004;513409
30.11.2004;515324
31.12.2004;523917
31.01.2005;527208
28.02.2005;528400
31.03.2005;530427
30.04.2005;532080
31.05.2005;534198
30.06.2005;536087
31.07.2005;538190
31.08.2005;540199
30.09.2005;543057
31.10.2005;544256
30.11.2005;546692
31.12.2005;548833
31.01.2006;551091
28.02.2006;552683
31.03.2006;554668
30.04.2006;553260
31.05.2006;555933
30.06.2006;558153
31.07.2006;560494
31.08.2006;561631
30.09.2006;627139
31.10.2006;629077
30.11.2006;631268
31.12.2006;631871
31.01.2007;633702
28.02.2007;635032
31.03.2007;639315
30.04.2007;641495
31.05.2007;642748
30.06.2007;644795
31.07.2007;646277
31.08.2007;649019
30.09.2007;650853
31.10.2007;652818
30.11.2007;656944
31.12.2007;655908
31.01.2008;657457
29.02.2008;659248
31.03.2008;660707
30.04.2008;662450
31.05.2008;664405
30.06.2008;667176
31.07.2008;669642
31.08.2008;671242
30.09.2008;673461
31.10.2008;674356
30.11.2008;677716
31.12.2008;679031
31.01.2009;682036
28.02.2009;684514
31.03.2009;690704
30.04.2009;693603
31.05.2009;696090
30.06.2009;700268
31.07.2009;703595
31.08.2009;706040
30.09.2009;709598
31.10.2009;712456
30.11.2009;714872
31.12.2009;716928
31.01.2010;720607
28.02.2010;722580
31.03.2010;725555
30.04.2010;728181
31.05.2010;730814
30.06.2010;734991
31.07.2010;737549
31.08.2010;740412
30.09.2010;743137
31.10.2010;745716
30.11.2010;748821
31.12.2010;750200
31.01.2011;752959
28.02.2011;755523
31.03.2011;758860
30.04.2011;761536
31.05.2011;765437
30.06.2011;769240
31.07.2011;772084
31.08.2011;775442
30.09.2011;780164
31.10.2011;782674
30.11.2011;786305
31.12.2011;790053
31.01.2012;793800
29.02.2012;796231
31.03.2012;799095
30.04.2012;802322
31.05.2012;805467
30.06.2012;807473
31.07.2012;811176
31.08.2012;814005
30.09.2012;816758
31.10.2012;820251
30.11.2012;823764
31.12.2012;835612
31.01.2013;837994
28.02.2013;840839
31.03.2013;844131
30.04.2013;848977
31.05.2013;852058
30.06.2013;853700
31.07.2013;857583
31.08.2013;860076
30.09.2013;862945
31.10.2013;867045
30.11.2013;869718
31.12.2013;872865
31.01.2014;875782
28.02.2014;877789
31.03.2014;880218
30.04.2014;882796
31.05.2014;885475
30.06.2014;888021
31.07.2014;891344
31.08.2014;893758
30.09.2014;896507
31.10.2014;899744
30.11.2014;901767
31.12.2014;904846
31.01.2015;907425
28.02.2015;909343
31.03.2015;911675
30.04.2015;914849
31.05.2015;916913
30.06.2015;918589
31.07.2015;921015
31.08.2015;923357
30.09.2015;925007
31.10.2015;927851
30.11.2015;930043
31.12.2015;931499
31.01.2016;933317
29.02.2016;934679
31.03.2016;936802
30.04.2016;939802
31.05.2016;942004
30.06.2016;943621
31.07.2016;945859
31.08.2016;947372
30.09.2016;948808
31.10.2016;950896
30.11.2016;952908
31.12.2016;955552
31.01.2017;958179
28.02.2017;959548
31.03.2017;961903
30.04.2017;964500
31.05.2017;967002
30.06.2017;969055
31.07.2017;971109
31.08.2017;973357
30.09.2017;975745
31.10.2017;978411
30.11.2017;981442
31.12.2017;982697
31.01.2018;984928
28.02.2018;986956
31.03.2018;989451
30.04.2018;992338
31.05.2018;995116
30.06.2018;997266
31.07.2018;1000759
31.08.2018;1003256
30.09.2018;1005210
31.10.2018;1009071
30.11.2018;1012911
31.12.2018;1015118
31.01.2019;1018977
28.02.2019;1021152
31.03.2019;1023452
30.04.2019;1027216
31.05.2019;1030611
30.06.2019;1031581
31.07.2019;1035520
31.08.2019;1038184
30.09.2019;1040148
31.10.2019;1042886
30.11.2019;1045546
31.12.2019;1047973
31.01.2020;1050710
29.02.2020;1052163
31.03.2020;1055910
30.04.2020;1058449
31.05.2020;1062001
30.06.2020;1063676
31.07.2020;1066597
31.08.2020;1069292
30.09.2020;1072056
31.10.2020;1075743
30.11.2020;1078651
31.12.2020;1082288
31.01.2021;1086506
28.02.2021;1088874
31.03.2021;1093199
30.04.2021;1097772
31.05.2021;1100906
30.06.2021;1103782
31.07.2021;1107450
31.08.2021;1110712
30.09.2021;1112967
31.10.2021;1115959
30.11.2021;1118405
31.12.2021;1119209
31.01.2022;1123011
28.02.2022;1125839
31.03.2022;1129690
30.04.2022;1133566
31.05.2022;1137232
30.06.2022;1139075
31.07.2022;1143895
31.08.2022;1146691
30.09.2022;1149068
31.10.2022;1152183
30.11.2022;1156280
31.12.2022;1158417
